,req,res
0,점심 메뉴 정하신 분,누룽지 끓여 먹을까 고민
1,아 나 점심 뭐 먹지,점심은 사모님이 주심 후후
2,**가 오늘 만들어야 함?,누룽지는 간식으로 먹어야징
3,누룽지 맛있겠어... 나두,여기 먹을 거 개많음 ㄷㄷ
4,국밥은 언제나 맛있음,떡볶이 이런 거 먹을 수 있음 키키
5,국밥 1그릇 배달 안 해주겠지 ㅠ,수제비랑 밀키트 다 나왕
6,주택 사니까 좋제 키키,주택 살면 좋은 것도 있구...
7,넘 부럽다 둘 다 주택 ㅠㅠ,안 좋은 것도 많음 ㅠ
8,나도 주택 무조건 갈 거야,가드닝 나도 했었음 키키
9,가드닝 뭐 했어?,허브 씨앗 졸랭 심었지
10,아파트는 가드닝 불가임,2000개 정도 심었거든?
11,벌레 무조건 생기잖아 ㅠ,엄청 잘 자라서 마당에 다 옮겨 심고 ㄷㄷ
12,진주에서 10분밖예 안 걸리지?,진주에서 평거에선 20분이양
13,거리는 가깝더라구 거기가,기름값 엄청 오름 ㅠ
14,아 평거에선 20분 괜찮네! 시간은,**는 어디쯤이야
15,오 기름값 11월 12일에  내려,원지 지나서인가? 그 정도면
16,13일에 넣어야 해 기름 키키,어딘지 알겠다 대충 키키/난 좀 더 가야 해
17,둘은 얼마나 걸려?,기름 그래 좀 내려라 제발 ㅠㅠ
18,어디 취직하는 게 낫다 근데,왜 이거는 별루야?
19,이거 사람 할 짓 아님,나 정말 일하기 싫어 회사에서 ㅠ
20,일과 사생활의 경계가 모호해,근데 손목이 진짜 아플 듯 ㅠ
21,회사가 나은 듯 나는...,손목 나갈까 봐 걱정
22,돈도 이제 귀찮을 지경,회사는 싫은 사람이 많아...
23,일 좀 그만하고 싶어,나도 일하기 너무 싫어...
24,요즘에는 군대 괴롭힘 없겠지?,요즘은 그러면 큰일 날 듯
25,폰 들고 간 게 큰 듯,디피 때문에 바로 잡혀가겠다
26,엄마한테 이를까 봐,**는 의경이였지 않니 키키
27,당나라 군대라고 하지 마라고 ㅠㅠ,거제에 했었잖아 그때 키키
28,그래도 그 어린 애들이 군대 가있는데,그떄 막 애들이 가고 그랬는데 키키
29,쟨 정말 할만했어,한국 남자애들 불쌍 ㅠ
30,학생 때 많은 걸 누릴걸,그니까 그때 다해야 해
31,학생 때 여행 많이 가야 함...,이제는 하고 싶어도 못해 ㅠ
32,사교육비 그거 다 거름이야 하하,진짜 시간을 돌리고 싶다
33,분명 우리의 어딘가를 채웠을 꺼야 키키,사교육비 그냥 주식 살걸
