req,res
해외연옌들 입금 전후쩔어,맞아 ㅋㅋ 방송쟁이들임
어케 그렇게 놓는지 몰라,다들 진짜 엄청나
놓는거도 신기하고 되돌리는거도 신기,연예인들은 관리를 잘해
엄청난 의지와 멘탈이야,트레이너가 도와주겠지먼
연예인은 멘탈관리가 필수,맞아 그것도 중요함
난 트레이너 붙여도 힘들듯,나도 그럴듯
나 갈치조림 먹고싶어서 갈치살까 하는데,오 갈치조림도 할 줄 알아?
갈치조림 그냥 갈치사서 양념장 넣고 무넣고 끓이는거아냐?,갈치 손질하고 양념장 만들고 무 손질하는게 어렵자나요
한번도 안해봤는데 양념장=백설이런거 사면되고,아 양념장도 다 만들어서 파는게 있어?
갈치=조림용으로 사면 그냥 물에한번 헹구면 되게 옴 ㅋㅋ,오 요즘 세상 좋다
무 그냥 썰면 됨...,언니 부엌에 좀 넓다했었나?
응응,부엌 넓으면 아무래도 요리하는 재미가 더 있겠다/나는 부엌이 좁아서 요리 잘 안해ㅠㅠ/이병헌이 그 동생 총으로 쏴/여주인공을 따라하는 친구들이 많았어
$방송/연예,프랑켄 취켓팅 두시에 딱 풀리려나?
두시 한 오육분부터 무한새고...,ㅋㅋ 진짜 그 예전에 그거 생각난다 우리 지킬땐가 벤허땐가 두시부터 새고 엄청 했는데 세시 넘어서 풀린거
근데 인터파크 짜증나...무슨 취소표를 새벽두시에 풀어 ㅋㅋ,내말이 최소 열두시엔 풀어야지ㅡㅡ
그니까 완전 고문...,잠 안자려고 깨있는게 넘 고문이야
멜론이 취켓은 제일좋아...,멜론은 어케 풀려?
멜론은 12시 한 5분쯤 풀려,아 맞아 새고 많이하면 걸리잖아 예스
멜론=샤롯데야 ㅋㅋ,아 멜론이 샤롯데구낰 ㅋㅋ
내가 아는 부부인 분들중에 딩크족이 많더라고,ㅋㅋ 이제 점점 많아지겠지
나머지 시간을 자유시간으로 쓰지도 못할 정도로 바쁘더라고,"맞아 바빠서 그렇기도 하고, 요즘 애를 그렇게 많이 낳을 필요가 없으니까./근데 그런 사람들 멋있더라고 나는?/전에 요가원 다닐 때 둘이 도인처럼 수련하러 오는거 좀 간지났음 ㅋㅋ"
부모가 스스로를 너무 희생시키는 거면 딩크족이 더 늘어날 수밖에 없을 거야,당연하지! 그리고 시대는 이제 자기발견 쪽으로 향하고 있어/아이도 정말 낳고 싶고 캐리 가능해야 낳지 아이를 위해 모든 걸 희생하는 건 아니라고 봄
맞아 모든 결혼한 사람이 모두 부모가 되라는 법도 없는 시대야,웅 맞어~ 둘이 평생 맞춰가는 것도 일인데/그래 나도 이렇게 사는거 행복해
취업이 엄청 사회 이슈야.,취업은 항상 힘들지.
일자리가 진짜 없어.,코로나 때문에 더 심해졌어.
언제쯤 취업이 나아질까?,한 5년은 지나야 할거 같아.
5년이 지나면 나아져?,인구 분포가 그래.
5년 뒤에 자리가 많아져?,퇴직 인구가 많아진대.
연예인들은 닭가슴살만 먹음,고구마랑 닭가슴살 먹더라
맞아 난 닭가슴살 싫어,나도 싫어 그거 ㅋㅋ
무슨 맛으로먹어,그니까 완전 퍽퍽하고
연예인은 외모관리 필수잖아,튀겨도 맛없어 그건
맞아 치킨으로도 싫음,피자 먹고 싶어져 그래도 광고보면
요즘 육아 문제 말이야 아이를 어린이집에 많이 맡기더라고,그치 요즘은 다 맞벌이인데 안 맡기고 못 배길걸. 부모님한테 맡기면 용돈 드려야 돼 ㅋㅋ/용돈 드려도 되는데 부모님 안 힘들게 하고싶달까
음 그러게 전에 아이를 좀 돌보아 봤는데 정말 돈 받고 싶긴 하더라고,ㅋㅋ 보통 일이 아니지 요즘은 또 막 내놓고 기르는 시대가 아니다보니
아이를 키우기 전에 내가 좀 바로 서 있어야 되겠단 생각도 있고,맞아… 아이를 키운다는 것의 의미가 진짜… 남달라졌어/반려동물 키우는 거랑도 차원이 다른 문제야…
그렇지 아이를 키우는 문제는 부모에게만 다 떠밀 책임도 아닌 것 같아,웅 어린이집 같은 게 많이 유연해지고 활성화되고 지원도 많이 돼서/애 키우기 더 편해졌음 좋겠음=
비트코인이 엄청 사회 이슈야.,요즘 또 엄청 올랐더라.
나도 좀 사둘걸.,나도 살걸 그랬어.
예전에 샀다가 손절했어.,나는 사지도 않았어.
완전 도박 이었어.,지금도 도박이지.
언제 없어져도 안 이상해.,도박은 하지 말자.
유튜버 쌀이없어요 알아?,그 사람도 은근 유명하더라
정말 대단한 사람이야,성형방송도 하는구나
맞아 닉네임도 기억에 남지,닉네임이 너무 웃겨
성형방송이라니 웃기다,한번들으면 안잊힘
닉네임 너무 특이하지,그래서 나도 기억하는거구
요즘은 양념이 진짜 잘나와서,엉엉
집에서 해먹는거 은근 쉬워...,오 글쿠나 나는 사실 귀찮은게 더 큰거같앸 ㅋㅋ
그건 그래 ㅋㅋ,어려운거보다 귀찮아섴 ㅋㅋ
근데 확실히 내동생도 보면 안해먹더라고,아무래도 자취하고 바쁘고 이러니까 요리하기 귀찮은거같앸 ㅋㅋ/그리고 냉장고 청소하기 귀찮아 또...
나는 잘해먹을땐 잘 해먹다가,또 안해먹을땐 안하는구나 ㅋㅋ
한번 귀찮으면 진짜 주구장창 냉동볶음밥만 렌지 돌려먹는편,근데 그게 편하짘 ㅋㅋ 그리고 요새 냉동볶음밥 엄청 맛있어
너 소개팅 해봤니? 난 2번 정도 해봤는데 너무 어색하더라,저 소개팅 4번정도 해봤어요 서로 연애를 목적으로 만난다는 거 자체가 저랑 너무 안 맞는 것 같아요/그 목적 때문에 더 어색해지고 조심스러워지는 느낌이랄까요
맞아 근데 자연스럽게 만나서 연애하기가 쉽지 않더라,그쵸 회사다니면서 더 심해지는 것 같아요 다들 어디서 그렇게 만나서 연애하는걸까요? ㅋㅋ
그러게말이야 ㅎ 직장 다니면 퇴근해서 집 가기 바쁘니 소개팅 외에는 답이 없어,언니 소개팅 제가 한번 주선해볼까요?
소개해 줄 만한 지인이 있니? 나는 딱히 소개팅할 때 조건 같은 건 없어,네 제가 한번 찾아볼게요 착하고 성실한 친구 한명있어요 이번주 일요일 어떠세요?
니가 소개해 주는 사람이라면 믿을 만 하겠어 좋아!,언니 기대하세요 제가 약속시간 잡아서 알려줄게요!
부동산이 엄청 사회 이슈야.,집값이 너무 올랐지.
월급으로는 절대 못하.,다들 빚 내서 사지.
은행이 사준다고 하더라.,그러니까 말이야.
매매라도 하면 다행이지.,대부분 전세도 힘들어.
그래도 다들 집에 살잖아.,우리도 집 사서 살자.
김구라 애생김,나도 기사 봤어
딸이래 축하합니다,방송인이라 사생활이 없어
와이프가 젊더라 본인보단,맞아 열살장도 차이나던데
원래 기사 쓰지말라고 부탁했는데 누가 털었대,에구 ㅠ 안타깝다
동현이 딸수준이지,방송인 배려도 해줘야지
의리지킨 기자는 참 좋은 사람이야,그러게 대단하다
넌 이상형이 어떻게 돼?,언니 저는 스윗젠틀영앤톨리치핸썸 좋아해요/언니는요?
나는 자상하고 어리고 키 크고 잘생기며 여유로운 사람 ^^,어딨니/유니콘이니
저런 사람은 있어도 이미 임자가 있겠지...괜히 아쉽네,다들 어디서 그렇게 빨리 만나가지고 사는건지.../부러워요
맞아 근데 이상형은 이상형일 뿐이잖아?,네맞아요 근데 그 근처에 있을 것 같은 남자도 없어서 문제인거 같아요 하하/결혼할 수 있을까~
ㅋㅋ 우선 우리부터 돌아보도록 하자,좋아용!
로또가 엄청 사회 이슈야.,갑자기 무슨 일이래?
로또 1등 당첨금이 20억이래.,20억이 생기면 좋겠다.
20억이 생기면 뭐 하고 싶어?,나는 집부터 살거야.
나도 집 살거야.,집사고 남은건 빚 갚아야지.
나도 똑같은 생각이야.,그리고 외제차 사야지.
아이돌들 연애엄청하잖아,맞아 연애의 왕국이지
좋을때다 싶어,다들 잘생긴사람 보다보면 그럴수 있어
아육대가 연애의 장이래,연예인이라고 연애 안하는건 아니지
팬들이 그거 극혐해,맘에드는 사람 있으면 하지
연애해도 모르게 하길 바라,팬들은 그렇더라
정말 힘들다,그래도 사랑은 막을수 없지
아 갑자기 감자칩 먹고싶은데,오 감자칩 맛있지
소금맛...,그 갑자기 생각난건뎈 ㅋㅋ 고스트버스터즈라는 영화에서 되게 긴급한 상황에 한 캐릭터가 갑자칩을 먹거든?
